record_id,cell_id,organism,cell_type,experimental_batch,replicate,experimental_condition,medium,temperature_celsius,generation,division_start_time,division_end_time,division_duration_minutes,cell_cycle_duration_hours,growth_rate_per_hour,is_outlier,quality_flag,notes
1,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,1,Control (Standard Media),YPD Broth,30.0,1,2024-03-01T22:24:00,2024-03-01T22:48:07.800000,24.13,2.01,0.3448,False,PASS,Synthetic benchmark observation #1. Seed=42
2,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,2,Control (Standard Media),YPD Broth,30.0,2,2024-03-02T14:36:00,2024-03-02T14:59:53.400000,23.89,1.94,0.3573,False,PASS,Synthetic benchmark observation #2. Seed=42
3,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,3,Nutrient Depletion (0.1% Glucose),YPD Broth,30.0,3,2024-03-03T06:48:00,2024-03-03T07:21:48.600000,33.81,2.93,0.2366,False,PASS,Synthetic benchmark observation #3. Seed=42
4,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,1,Rapamycin Inhibition (10 nM),YPD Broth,30.0,4,2024-03-03T23:00:00,2024-03-03T23:36:18,36.3,2.94,0.2358,False,PASS,Synthetic benchmark observation #4. Seed=42
5,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q4,2,Nutrient Depletion (0.1% Glucose),YPD Broth,30.0,5,2024-03-04T15:12:00,2024-03-04T15:47:28.200000,35.47,2.68,0.2586,False,PASS,Synthetic benchmark observation #5. Seed=42
6,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,3,Thermal Stress (+5°C),YPD Broth,35.0,1,2024-03-05T07:24:00,2024-03-05T07:51:29.400000,27.49,2.36,0.2937,False,PASS,Synthetic benchmark observation #6. Seed=42
7,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q3,1,Thermal Stress (+5°C),YPD Broth,35.0,2,2024-03-05T23:36:00,2024-03-06T00:07:16.200000,31.27,2.64,0.2626,False,PASS,Synthetic benchmark observation #7. Seed=42
8,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,2,Osmotic Stress (0.4M Sorbitol),YPD Broth,30.0,3,2024-03-06T15:48:00,2024-03-06T16:19:31.200000,31.52,2.68,0.2586,False,PASS,Synthetic benchmark observation #8. Seed=42
9,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q3,3,Osmotic Stress (0.4M Sorbitol),YPD Broth,30.0,4,2024-03-07T08:00:00,2024-03-07T08:28:22.200000,28.37,2.82,0.2458,False,PASS,Synthetic benchmark observation #9. Seed=42
10,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q3,1,Nutrient Depletion (0.1% Glucose),YPD Broth,30.0,5,2024-03-08T00:12:00,2024-03-08T00:46:52.800000,34.88,3.0,0.231,False,PASS,Synthetic benchmark observation #10. Seed=42
